"ID","Source","Family","Species","CommonName","Island","FirstRecorded","Notes"
"2244","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis buxi (Bouché)",NULL,"Guam","1954",NULL
"2245","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis buxi (Bouché)",NULL,"Ponape","1953",NULL
"2246","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Rota","1946",NULL
"2247","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Guam","1946",NULL
"2248","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Koror","1954",NULL
"2249","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Yap","1949",NULL
"2250","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Pingelap","1949",NULL
"2251","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Wena(Moen)","1952",NULL
"2252","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Ponape","1939",NULL
"2253","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Wake","1939",NULL
"2254","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Kwajalein","1946",NULL
"2255","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Tarawa","1956",NULL
"2256","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Namorik","1953",NULL
"2257","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Ebon","1953",NULL
"2258","Insects of Micronesia 6(7)","Diaspididae","Pinnaspis strachani (Cooley)",NULL,"Ocean Island","1957",NULL
"2259","Insects of Micronesia 6(7)","Diaspididae","Pseudaulacaspis pentagonia (Targioni-Tozzetti)",NULL,"Saipan","1946",NULL
"2260","Insects of Micronesia 6(7)","Diaspididae","Pseudaulacaspis pentagonia (Targioni-Tozzetti)",NULL,"Guam","1954",NULL
"2261","Insects of Micronesia 6(7)","Diaspididae","Pseudaulacaspis pentagonia (Targioni-Tozzetti)",NULL,"Koror","1946",NULL
"2262","Insects of Micronesia 6(7)","Diaspididae","Pseudaulacaspis pentagonia (Targioni-Tozzetti)",NULL,"Faraulep","1953",NULL
"2263","Insects of Micronesia 6(7)","Diaspididae","Pseudaulacaspis pentagonia (Targioni-Tozzetti)",NULL,"Wena(Moen)","1948",NULL
"2264","Insects of Micronesia 6(7)","Diaspididae","Radionaspis indica (Marlatt)",NULL,"Koror","1953",NULL
"2265","Insects of Micronesia 6(7)","Diaspididae","Unaspis citri (Comstock)",NULL,"Ponape","1949",NULL
"2266","Insects of Micronesia 6(1)","Aleyrodidae","Dialeurodes kirkaldyi (Kotinsky)",NULL,"Saipan","1939",NULL
"2267","Insects of Micronesia 6(1)","Aleyrodidae","Dialeurodes kirkaldyi (Kotinsky)",NULL,"Rota","1936",NULL
"2268","Insects of Micronesia 6(1)","Aleyrodidae","Dialeurodes kirkaldyi (Kotinsky)",NULL,"Guam","1936",NULL
"2269","Insects of Micronesia 6(1)","Aleyrodidae","Dialeurodes kirkaldyi (Kotinsky)",NULL,"Koror","1936",NULL
"2270","Insects of Micronesia 6(1)","Aleyrodidae","Dialeurodes kirkaldyi (Kotinsky)",NULL,"Ngerkabesang","1946",NULL
"2271","Insects of Micronesia 6(1)","Aleyrodidae","Dialeurodes kirkaldyi (Kotinsky)",NULL,"Yap","1939",NULL
"2272","Insects of Micronesia 6(1)","Aleyrodidae","Dialeurodes kirkaldyi (Kotinsky)",NULL,"Ponape","1938",NULL
"2273","Insects of Micronesia 6(1)","Aleyrodidae","Metaleyrodes oceanica (Takahashi)",NULL,"Ninoani","1938",NULL
"2274","Insects of Micronesia 6(1)","Aleyrodidae","Bemisia gossypiperda Misra and Lambda",NULL,"Saipan","1936",NULL
"2275","Insects of Micronesia 6(1)","Aleyrodidae","Bemisia gossypiperda Misra and Lambda",NULL,"Koror","1954",NULL
"2276","Insects of Micronesia 6(1)","Aleyrodidae","Bemisia gossypiperda Misra and Lambda",NULL,"Ponape","1953",NULL
"2277","Insects of Micronesia 6(1)","Aleyrodidae","Aleurcanthus esakii",NULL,"Koror","1936",NULL
"2278","Insects of Micronesia 6(1)","Aleyrodidae","Aleurocanthus palauensis",NULL,"Koror","1952",NULL
"2279","Insects of Micronesia 6(1)","Aleyrodidae","Aleurocanthus spiniferus",NULL,"Guam","1951",NULL
"2280","Insects of Micronesia 6(1)","Aleyrodidae","Aleurocanthus spiniferus",NULL,"Tonoas(Dublon)","1948",NULL
"2281","Insects of Micronesia 6(1)","Aleyrodidae","Xenaleyrodes artocarpi",NULL,"Koror","1936",NULL
"2282","Insects of Micronesia 6(1)","Aleyrodidae","Neomaskellia bergii",NULL,"Pagan","1951",NULL
"2283","Insects of Micronesia 6(1)","Aleyrodidae","Neomaskellia bergii",NULL,"Tinian","1946",NULL
"2284","Insects of Micronesia 6(1)","Aleyrodidae","Neomaskellia bergii",NULL,"Rota","1937",NULL
"2285","Insects of Micronesia 6(1)","Aleyrodidae","Neomaskellia bergii",NULL,"Guam","1936",NULL
"2286","Insects of Micronesia 6(1)","Aleyrodidae","Neomaskellia bergii",NULL,"Babelthuap","1936",NULL
"2287","Insects of Micronesia 6(1)","Aleyrodidae","Neomaskellia bergii",NULL,"Koror","1946",NULL
"2288","Insects of Micronesia 6(1)","Aleyrodidae","Neomaskellia bergii",NULL,"Ngerkabesang","1946",NULL
"2289","Insects of Micronesia 6(1)","Aleyrodidae","Neomaskellia bergii",NULL,"Tonoas(Dublon)","1935",NULL
"2290","Insects of Micronesia 6(1)","Aleyrodidae","Neomaskellia bergii",NULL,"Fefan","1946",NULL
"2291","Insects of Micronesia 6(1)","Aleyrodidae","Neomaskellia bergii",NULL,"Ponape","1937",NULL
"2292","Insects of Micronesia 6(1)","Aleyrodidae","Neomaskellia bergii",NULL,"Kusaie","1953",NULL
"2293","Insects of Micronesia 6(3)","Cixiidae","Bennaria consul",NULL,"Babelthuap","1947",NULL
"2294","Insects of Micronesia 6(3)","Cixiidae","Bennaria consul",NULL,"Koror","1938",NULL
"2295","Insects of Micronesia 6(3)","Cixiidae","Bennaria consul",NULL,"Peleliu","1939",NULL
"2296","Insects of Micronesia 6(3)","Cixiidae","Bennaria consul",NULL,"Angaur","1948",NULL
"2297","Insects of Micronesia 6(3)","Cixiidae","Bennaria praetor",NULL,"Yap","1939",NULL
"2298","Insects of Micronesia 6(3)","Cixiidae","Bennaria praetor",NULL,"Ulithi","1947",NULL
"2299","Insects of Micronesia 6(3)","Cixiidae","Bennaria praetor",NULL,"Fais","1952",NULL
"2300","Insects of Micronesia 6(3)","Cixiidae","Myndus bifurcatus",NULL,"Guam","1945",NULL
"2301","Insects of Micronesia 6(3)","Cixiidae","Myndus nearchus",NULL,"Guam","1938",NULL
"2302","Insects of Micronesia 6(3)","Cixiidae","Myndus nearchus",NULL,"Elato","1953",NULL
"2303","Insects of Micronesia 6(3)","Cixiidae","Myndus dibaphus",NULL,"Guam","1936",NULL
"2304","Insects of Micronesia 6(3)","Cixiidae","Myndus dibaphus",NULL,"Wena(Moen)","1940",NULL
"2305","Insects of Micronesia 6(3)","Cixiidae","Myndus polyctor",NULL,"Guam","1945",NULL
"2306","Insects of Micronesia 6(3)","Cixiidae","Myndus marginatus",NULL,"Ponape","1938",NULL
"2307","Insects of Micronesia 6(3)","Cixiidae","Myndus irreptor",NULL,"Guam","1945",NULL
"2308","Insects of Micronesia 6(3)","Cixiidae","Myndus irreptor",NULL,"Tinian","1945",NULL
"2309","Insects of Micronesia 6(3)","Cixiidae","Myndus praecanus",NULL,"Ponape","1939",NULL
"2310","Insects of Micronesia 6(3)","Cixiidae","Myndus praecanus",NULL,"Jaluit","1946",NULL
"2311","Insects of Micronesia 6(3)","Cixiidae","Myndus orion",NULL,"Ponape","1938",NULL
"2312","Insects of Micronesia 6(3)","Cixiidae","Myndus oxalme",NULL,"Wena(Moen)","1939",NULL
"2313","Insects of Micronesia 6(3)","Cixiidae","Myndus oxalme",NULL,"Tol","1946",NULL
"2314","Insects of Micronesia 6(3)","Cixiidae","Myndus oxalme",NULL,"Tonoas(Dublon)","1939",NULL
"2315","Insects of Micronesia 6(3)","Cixiidae","Myndus oxalme",NULL,"Satawal","1952",NULL
"2316","Insects of Micronesia 6(3)","Cixiidae","Myndus oxalme",NULL,"Ifaluk","1952",NULL
"2317","Insects of Micronesia 6(3)","Cixiidae","Myndus oxalme",NULL,"Lamotrek","1952",NULL
"2318","Insects of Micronesia 6(3)","Cixiidae","Myndus oxalme",NULL,"Nomwin","1954",NULL
"2319","Insects of Micronesia 6(3)","Cixiidae","Myndus oxalme namanus",NULL,"Nama","1949",NULL
"2320","Insects of Micronesia 6(3)","Cixiidae","Myndus niger",NULL,"Ponape","1946",NULL
"2321","Insects of Micronesia 6(3)","Cixiidae","Myndus orestes",NULL,"Ponape","1946",NULL
"2322","Insects of Micronesia 6(3)","Cixiidae","Myndus ophiuchus",NULL,"Kusaie","1953",NULL
"2323","Insects of Micronesia 6(3)","Cixiidae","Myndus uniformis",NULL,"Ponape","1939",NULL
"2324","Insects of Micronesia 6(3)","Cixiidae","Myndus aphrodite",NULL,"Kusaie","1937",NULL
"2325","Insects of Micronesia 6(3)","Cixiidae","Myndus aphrodite",NULL,"Jaluit","1937",NULL
"2326","Insects of Micronesia 6(3)","Cixiidae","Myndus cressida",NULL,"Saipan","1945",NULL
"2327","Insects of Micronesia 6(3)","Cixiidae","Myndus cressida",NULL,"Aguiguan","1952",NULL
"2328","Insects of Micronesia 6(3)","Cixiidae","Myndus cressida",NULL,"Tinian","1945",NULL
"2329","Insects of Micronesia 6(3)","Cixiidae","Myndus cressida",NULL,"Rota","1936",NULL
"2330","Insects of Micronesia 6(3)","Cixiidae","Myndus apicalis",NULL,"Woleai","1954",NULL
"2331","Insects of Micronesia 6(3)","Cixiidae","Myndus apicalis",NULL,"Ponape","1954",NULL
"2332","Insects of Micronesia 6(3)","Cixiidae","Myndus apicalis",NULL,"Kusaie","1954",NULL
"2333","Insects of Micronesia 6(3)","Cixiidae","Myndus apicalis",NULL,"Jaluit","1954",NULL
"2334","Insects of Micronesia 6(3)","Cixiidae","Myndus fusciterminalis",NULL,"Ponape","1954",NULL
"2335","Insects of Micronesia 6(3)","Cixiidae","Europhlepsia pallescens",NULL,"Babelthuap","1939",NULL
"2336","Insects of Micronesia 6(3)","Cixiidae","Europhlepsia pallescens",NULL,"Koror","1946",NULL
"2337","Insects of Micronesia 6(3)","Cixiidae","Europhlepsia pallescens",NULL,"Ngerkabesang","1946",NULL
"2338","Insects of Micronesia 6(3)","Cixiidae","Europhlepsia pallescens",NULL,"Malakal","1952",NULL
"2339","Insects of Micronesia 6(3)","Cixiidae","Europhlepsia pallescens",NULL,"Ngarmalk","1952",NULL
"2340","Insects of Micronesia 6(3)","Cixiidae","Dystheatias orpheus",NULL,"Babelthuap","1947",NULL
"2341","Insects of Micronesia 6(3)","Cixiidae","Dystheatias orpheus",NULL,"Koror","1952",NULL
"2342","Insects of Micronesia 6(3)","Cixiidae","Dystheatias orpheus",NULL,"Urukthapel","1952",NULL
"2343","Insects of Micronesia 6(3)","Cixiidae","Dystheatias tyndaris",NULL,"Tol","1952",NULL
"2344","Insects of Micronesia 6(3)","Cixiidae","Dystheatias telamon",NULL,"Koror","1952",NULL
"2345","Insects of Micronesia 6(3)","Cixiidae","Oliarus carolinensis",NULL,"Ponape","1939",NULL
"2346","Insects of Micronesia 6(3)","Cixiidae","Oliarus trachas",NULL,"Ponape","1939",NULL
"2347","Insects of Micronesia 6(3)","Cixiidae","Oliarus ogasawarensis",NULL,"Saipan","1939",NULL
"2348","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi kinbergi",NULL,"Ponape","1939",NULL
"2349","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi guahoni",NULL,"Saipan","1940",NULL
"2350","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi guahoni",NULL,"Guam","1945",NULL
"2351","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi guahoni",NULL,"Aguiguan","1952",NULL
"2352","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi guahoni",NULL,"Rota","1946",NULL
"2353","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi palauensis",NULL,"Angaur","1948",NULL
"2354","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi palauensis",NULL,"Koror","1947",NULL
"2355","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi palauensis",NULL,"Peleliu","1948",NULL
"2356","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi palauensis",NULL,"Kayangel","1952",NULL
"2357","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Yap","1946",NULL
"2358","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Ulithi","1947",NULL
"2359","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Fais","1952",NULL
"2360","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Sonsorol","1952",NULL
"2361","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Woleai","1938",NULL
"2362","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Faraulep","1952",NULL
"2363","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Ifaluk","1952",NULL
"2364","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Elato","1952",NULL
"2365","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Satawal","1952",NULL
"2366","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Nomwin","1946",NULL
"2367","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Nama","1950",NULL
"2368","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Losap","1952",NULL
"2369","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Etal","1952",NULL
"2370","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Satawan","1952",NULL
"2371","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Wena(Moen)","1946",NULL
"2372","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi civilis",NULL,"Tonoas(Dublon)","1946",NULL
"2373","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi magas",NULL,"Airek","1946",NULL
"2374","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi kusaieana",NULL,"Kusaie","1946",NULL
"2375","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi",NULL,"Nukuoru","1946",NULL
"2376","Insects of Micronesia 6(3)","Delphacidae","Ugyops kinbergi",NULL,"Sonsorol","1952",NULL
"2377","Insects of Micronesia 6(3)","Delphacidae","Ugyops superciliata",NULL,"Arno atoll","1950",NULL
"2378","Insects of Micronesia 6(3)","Delphacidae","Ugyops superciliata",NULL,"Kwajalein","1944",NULL
"2379","Insects of Micronesia 6(3)","Delphacidae","Ugyops superciliata",NULL,"Jaluit","1946",NULL
"2380","Insects of Micronesia 6(3)","Delphacidae","Ugyops superciliata",NULL,"Majuro","1946",NULL
"2381","Insects of Micronesia 6(3)","Delphacidae","Ugyops superciliata",NULL,"Mokil","1948",NULL
"2382","Insects of Micronesia 6(3)","Delphacidae","Ugyops superciliata",NULL,"Pingelap","1953",NULL
"2383","Insects of Micronesia 6(3)","Delphacidae","Ugyops superciliata",NULL,"Ponape","1949",NULL
"2384","Insects of Micronesia 6(3)","Delphacidae","Ugyops superciliata",NULL,"Kusaie","1946",NULL
"2385","Insects of Micronesia 6(3)","Delphacidae","Ugyops annulipes annulipes",NULL,"Saipan","1945",NULL
"2386","Insects of Micronesia 6(3)","Delphacidae","Ugyops annulipes annulipes",NULL,"Tinian","1945",NULL
"2387","Insects of Micronesia 6(3)","Delphacidae","Ugyops annulipes annulipes",NULL,"Guam","1945",NULL
"2388","Insects of Micronesia 6(3)","Delphacidae","Ugyops annulipes pisana",NULL,"Nama","1946",NULL
"2389","Insects of Micronesia 6(3)","Delphacidae","Ugyops ariadne",NULL,"Ulithi","1946",NULL
"2390","Insects of Micronesia 6(3)","Delphacidae","Ugyops ariadne",NULL,"Woleai","1946",NULL
"2391","Insects of Micronesia 6(3)","Delphacidae","Ugyops ariadne",NULL,"Yap","1949",NULL
"2392","Insects of Micronesia 6(3)","Delphacidae","Ugyops ariadne",NULL,"Lamotrek","1953",NULL
"2393","Insects of Micronesia 6(3)","Delphacidae","Ugyops ariadne",NULL,"Ifaluk","1953",NULL
"2394","Insects of Micronesia 6(3)","Delphacidae","Ugyops apollo",NULL,"Ponape","1948",NULL
"2395","Insects of Micronesia 6(3)","Delphacidae","Ugyops anatahani",NULL,"Saipan","1945",NULL
"2396","Insects of Micronesia 6(3)","Delphacidae","Ugyops anatahani",NULL,"Anatahan","1951",NULL
"2397","Insects of Micronesia 6(3)","Delphacidae","Ugyops rotana",NULL,"Saipan","1945",NULL
"2398","Insects of Micronesia 6(3)","Delphacidae","Ugyops rotana",NULL,"Rota","1951",NULL
"2399","Insects of Micronesia 6(3)","Delphacidae","Ugyops eos",NULL,"Kapingamarangi","1946",NULL
"2400","Insects of Micronesia 6(3)","Delphacidae","Melanesia similior",NULL,"Ponape","1948",NULL
"2401","Insects of Micronesia 6(3)","Delphacidae","Livatiella constellaris",NULL,"Ponape","1938",NULL
"2402","Insects of Micronesia 6(3)","Delphacidae","Livatiella constellaris",NULL,"Tol","1953",NULL
"2403","Insects of Micronesia 6(3)","Delphacidae","Livatiella chrysops",NULL,"Ponape","1938",NULL
"2404","Insects of Micronesia 6(3)","Delphacidae","Melanuugyops erebea",NULL,"Ponape","1948",NULL
"2405","Insects of Micronesia 6(3)","Delphacidae","Perkinsiella bakeri",NULL,"Babelthuap","1947",NULL
"2406","Insects of Micronesia 6(3)","Delphacidae","Perkinsiella bakeri",NULL,"Koror","1952",NULL
"2407","Insects of Micronesia 6(3)","Delphacidae","Perkinsiella bakeri",NULL,"Yap","1950",NULL
"2408","Insects of Micronesia 6(3)","Delphacidae","Perkinsiella thompsoni",NULL,"Saipan","1936",NULL
"2409","Insects of Micronesia 6(3)","Delphacidae","Perkinsiella thompsoni",NULL,"Guam","1936",NULL
"2410","Insects of Micronesia 6(3)","Delphacidae","Perkinsiella thompsoni",NULL,"Koror","1952",NULL
"2411","Insects of Micronesia 6(3)","Delphacidae","Perkinsiella thompsoni",NULL,"Yap","1952",NULL
"2412","Insects of Micronesia 6(3)","Delphacidae","Perkinsiella thompsoni",NULL,"Wena(Moen)","1949",NULL
"2413","Insects of Micronesia 6(3)","Delphacidae","Peregrinus maidis",NULL,"Saipan","1939",NULL
"2414","Insects of Micronesia 6(3)","Delphacidae","Peregrinus maidis",NULL,"Tinian","1937",NULL
"2415","Insects of Micronesia 6(3)","Delphacidae","Peregrinus maidis",NULL,"Rota","1946",NULL
"2416","Insects of Micronesia 6(3)","Delphacidae","Peregrinus maidis",NULL,"Guam","1945",NULL
"2417","Insects of Micronesia 6(3)","Delphacidae","Peregrinus maidis",NULL,"Koror","1948",NULL
"2418","Insects of Micronesia 6(3)","Delphacidae","Peregrinus maidis",NULL,"Ngarmalk","1952",NULL
"2419","Insects of Micronesia 6(3)","Delphacidae","Peregrinus maidis",NULL,"Angaur","1938",NULL
"2420","Insects of Micronesia 6(3)","Delphacidae","Peregrinus maidis",NULL,"Peleliu","1939",NULL
"2421","Insects of Micronesia 6(3)","Delphacidae","Peregrinus maidis",NULL,"Yap","1939",NULL
"2422","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Aguiguan","1952",NULL
"2423","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Babelthuap","1939",NULL
"2424","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Peleliu","1939",NULL
"2425","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Angaur","1949",NULL
"2426","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Yap","1939",NULL
"2427","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Satawan","1952",NULL
"2428","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Nukuoru","1946",NULL
"2429","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Wena(Moen)","1949",NULL
"2430","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Tonoas(Dublon)","1938",NULL
"2431","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Ponape","1938",NULL
"2432","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Kusaie","1937",NULL
"2433","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Majuro","1946",NULL
"2434","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Namorik","1953",NULL
"2435","Insects of Micronesia 6(3)","Delphacidae","Tarophagus prosperina",NULL,"Kili","1953",NULL
"2436","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus granulinervis",NULL,"Saipan","1945",NULL
"2437","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus granulinervis",NULL,"Guam","1945",NULL
"2438","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus granulinervis",NULL,"Babelthuap","1953",NULL
"2439","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus granulinervis",NULL,"Yap","1950",NULL
"2440","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus granulinervis",NULL,"Sonsorol","1952",NULL
"2441","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus granulinervis",NULL,"Ulithi","1952",NULL
"2442","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus granulinervis",NULL,"Woleai","1952",NULL
"2443","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus granulinervis",NULL,"Ifaluk","1952",NULL
"2444","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus granulinervis",NULL,"Lamotrek","1952",NULL
"2445","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus nigromaculosus",NULL,"Guam","1945",NULL
"2446","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus nigromaculosus",NULL,"Babelthuap","1947",NULL
"2447","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus nigromaculosus",NULL,"Koror","1952",NULL
"2448","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus nigromaculosus",NULL,"Peleliu","1944",NULL
"2449","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus nigromaculosus",NULL,"Kayangel","1952",NULL
"2450","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus nigromaculosus",NULL,"Yap","1950",NULL
"2451","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus nigromaculosus",NULL,"Woleai","1946",NULL
"2452","Insects of Micronesia 6(3)","Delphacidae","Phyllodinus nigromaculosus",NULL,"Ulithi","1945",NULL
"2453","Insects of Micronesia 6(3)","Delphacidae","Eudellana carolinensis",NULL,"Guam","1945",NULL
"2454","Insects of Micronesia 6(3)","Delphacidae","Eudellana carolinensis",NULL,"Babelthuap","1947",NULL
"2455","Insects of Micronesia 6(3)","Delphacidae","Eudellana carolinensis",NULL,"Koror","1946",NULL
"2456","Insects of Micronesia 6(3)","Delphacidae","Eudellana carolinensis",NULL,"Ngerkabesang","1946",NULL
"2457","Insects of Micronesia 6(3)","Delphacidae","Eudellana carolinensis",NULL,"Yap","1950",NULL
"2458","Insects of Micronesia 6(3)","Delphacidae","Eudellana carolinensis",NULL,"Ulithi","1952",NULL
"2459","Insects of Micronesia 6(3)","Delphacidae","Eudellana carolinensis",NULL,"Ponape","1936",NULL
"2460","Insects of Micronesia 6(3)","Delphacidae","Eudellana carolinensis",NULL,"Kusaie","1953",NULL
"2461","Insects of Micronesia 6(3)","Delphacidae","Stenocranus agamopsyche",NULL,"Guam","1945",NULL
"2462","Insects of Micronesia 6(3)","Delphacidae","Stenocranus agamopsyche",NULL,"Babelthuap","1947",NULL
"2463","Insects of Micronesia 6(3)","Delphacidae","Stenocranus agamopsyche",NULL,"Koror","1947",NULL
"2464","Insects of Micronesia 6(3)","Delphacidae","Stenocranus agamopsyche",NULL,"Yap","1950",NULL
"2465","Insects of Micronesia 6(3)","Delphacidae","Stenocranus pacificus",NULL,"Babelthuap","1947",NULL
"2466","Insects of Micronesia 6(3)","Delphacidae","Stenocranus pacificus",NULL,"Koror","1953",NULL
"2467","Insects of Micronesia 6(3)","Delphacidae","Sardia pluto",NULL,"Babelthuap","1947",NULL
"2468","Insects of Micronesia 6(3)","Delphacidae","Sardia pluto",NULL,"Koror","1953",NULL
"2469","Insects of Micronesia 6(3)","Delphacidae","Sardia pluto",NULL,"Yap","1952",NULL
"2470","Insects of Micronesia 6(3)","Delphacidae","Sardia pluto",NULL,"Namorik","1953",NULL
"2471","Insects of Micronesia 6(3)","Delphacidae","Sardia pluto",NULL,"Ponape","1953",NULL
"2472","Insects of Micronesia 6(3)","Delphacidae","Sardia pluto",NULL,"Kusaie","1947",NULL
"2473","Insects of Micronesia 6(3)","Delphacidae","Chloriona (Sogatella) furcifera",NULL,"Guam","1945",NULL
"2474","Insects of Micronesia 6(3)","Delphacidae","Chloriona (Sogatella) furcifera",NULL,"Babelthuap","1951",NULL
"2475","Insects of Micronesia 6(3)","Delphacidae","Chloriona (Sogatella) furcifera",NULL,"Koror","1952",NULL
"2476","Insects of Micronesia 6(3)","Delphacidae","Chloriona (Sogatella) furcifera",NULL,"Ponape","1932",NULL
"2477","Insects of Micronesia 6(3)","Delphacidae","Chloriona (Sogatella) furcifera",NULL,"Majuro","1946",NULL
"2478","Insects of Micronesia 6(3)","Delphacidae","Chloriona (Sogatella) furcifera",NULL,"Jaluit","1946",NULL
"2479","Insects of Micronesia 6(3)","Delphacidae","Chloriona ( Sogatella) kolophon",NULL,"Saipan","1944",NULL
"2480","Insects of Micronesia 6(3)","Delphacidae","Chloriona ( Sogatella) kolophon",NULL,"Guam","1945",NULL
"2481","Insects of Micronesia 6(3)","Delphacidae","Chloriona ( Sogatella) kolophon",NULL,"Babelthuap","1951",NULL
"2482","Insects of Micronesia 6(3)","Delphacidae","Chloriona ( Sogatella) kolophon",NULL,"Yap","1950",NULL
"2483","Insects of Micronesia 6(3)","Delphacidae","Chloriona ( Sogatella) kolophon",NULL,"Ulithi","1952",NULL
"2484","Insects of Micronesia 6(3)","Delphacidae","Chloriona ( Sogatella) kolophon",NULL,"Fais","1952",NULL
"2485","Insects of Micronesia 6(3)","Delphacidae","Chloriona ( Sogatella) kolophon",NULL,"Ton","1940",NULL
"2486","Insects of Micronesia 6(3)","Delphacidae","Chloriona ( Sogatella) kolophon",NULL,"Ponape","1937",NULL
"2487","Insects of Micronesia 6(3)","Delphacidae","Chloriona ( Sogatella) kolophon",NULL,"Ujelang","1953",NULL
"2488","Insects of Micronesia 6(3)","Delphacidae","Chloriona ( Sogatella) kolophon",NULL,"Wotho","1953",NULL
"2489","Insects of Micronesia 6(3)","Delphacidae","Chloriona ( Sogatella) kolophon",NULL,"Ujae","1953",NULL
